Platform,Department,Pipeline,Stage,Precedence Index,Criticality,Task Performed,Task Description,Client (Beneficiary),Dependencies (Must Follow),Precedencies (Must Precede),Deliverables,SLA (Hours),KPIs,Billing Model,Billing Unit,Base Rate,Value-Based Multiplier Guidance,Quoted Price Formula,Tools / Integrations,Automations / AI,Approver,Notes
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,1,Medium,Thumbnail Designer — Intake & Brief,"Collect brief, objectives, brand assets; clarify scope for Thumbnail Designer. Define success metrics and deadlines.",External Client / Internal Editorial,,Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,"3 thumbnail variants (PNG/JPG), source file, test results",4,CTR uplift; revisions per asset; on-time delivery %,Fixed + value uplift,per thumbnail,150.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Publit.io; Bestever; SUPERMACHINE,Auto-notify editor on upload; auto-publish on approval,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,1,Medium,Video Editor (Short) — Intake & Brief,"Collect brief, objectives, brand assets; clarify scope for Video Editor (Short). Define success metrics and deadlines.",External Client / Internal Editorial,,Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,One 9–60s vertical video with captions and SRT,4,Avg. watch %; completion rate; time-to-edit,Fixed + value uplift,per short video,400.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Phygital+; Unmixr AI; Activepieces (ingest/export),Auto-ingest from Drive; auto-caption; render queue,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,1,Medium,Copywriter — Intake & Brief,"Collect brief, objectives, brand assets; clarify scope for Copywriter. Define success metrics and deadlines.",External Client / Internal Marketing,,Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,Ad copy pack (5–10 variants) or long-form copy with meta tags,4,Ad CTR; conv. rate; QA error rate,Fixed + value uplift,per word (or $250 per ad pack),0.35,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Katteb; WordHero; Writeseed; Grammarly,Auto-assign editor; grammar QA; plagiarism scan,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,1,Medium,Scriptwriter — Intake & Brief,"Collect brief, objectives, brand assets; clarify scope for Scriptwriter. Define success metrics and deadlines.",External Client / Internal Editorial,,Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,"Video script (2–3 min), alt hooks, VO notes",4,1st-pass approval %; turnaround time,Fixed + value uplift,per script,300.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),KWHero; Nichesss,Auto-outline generator; versioning and comments,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,1,Medium,Illustrator — Intake & Brief,"Collect brief, objectives, brand assets; clarify scope for Illustrator. Define success metrics and deadlines.",External Client / Internal Editorial,,Ideation & Research; Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,High-res illustration (SVG/PNG) + style sheet,4,Saves/shares; turnaround; revisions,Fixed + value uplift,per illustration,450.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SUPERMACHINE; Phygital+,Auto-export size variants; link to asset library,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,2,Medium,Thumbnail Designer — Ideation & Research,Research competitors and trends; produce 3–5 concepts/outlines for Thumbnail Designer.,External Client / Internal Editorial,Intake & Brief,Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,"3 thumbnail variants (PNG/JPG), source file, test results",4,CTR uplift; revisions per asset; on-time delivery %,Fixed + value uplift,per thumbnail,150.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Publit.io; Bestever; SUPERMACHINE,Auto-notify editor on upload; auto-publish on approval,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,2,Medium,Video Editor (Short) — Ideation & Research,Research competitors and trends; produce 3–5 concepts/outlines for Video Editor (Short).,External Client / Internal Editorial,Intake & Brief,Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,One 9–60s vertical video with captions and SRT,4,Avg. watch %; completion rate; time-to-edit,Fixed + value uplift,per short video,400.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Phygital+; Unmixr AI; Activepieces (ingest/export),Auto-ingest from Drive; auto-caption; render queue,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,2,Medium,Copywriter — Ideation & Research,Research competitors and trends; produce 3–5 concepts/outlines for Copywriter.,External Client / Internal Marketing,Intake & Brief,Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,Ad copy pack (5–10 variants) or long-form copy with meta tags,4,Ad CTR; conv. rate; QA error rate,Fixed + value uplift,per word (or $250 per ad pack),0.35,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),Katteb; WordHero; Writeseed; Grammarly,Auto-assign editor; grammar QA; plagiarism scan,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,2,Medium,Scriptwriter — Ideation & Research,Research competitors and trends; produce 3–5 concepts/outlines for Scriptwriter.,External Client / Internal Editorial,Intake & Brief,Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,"Video script (2–3 min), alt hooks, VO notes",4,1st-pass approval %; turnaround time,Fixed + value uplift,per script,300.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),KWHero; Nichesss,Auto-outline generator; versioning and comments,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,2,Medium,Illustrator — Ideation & Research,Research competitors and trends; produce 3–5 concepts/outlines for Illustrator.,External Client / Internal Editorial,Intake & Brief,Draft / Production; Edit / Review; Design & Multimedia; QA / Compliance; Publish; Promotion / Syndication; Performance Review,High-res illustration (SVG/PNG) + style sheet,4,Saves/shares; turnaround; revisions,Fixed + value uplift,per illustration,450.0,"1.0–2.0× based on expected CTR/engagement lift, urgency, exclusivity.",Quoted = Base Rate × Value Multiplier × (Rush 1.25× if <48h),SUPERMACHINE; Phygital+,Auto-export size variants; link to asset library,Creative Director,Dependencies follow stage order; Gantt precedence via index; map fields to custom properties on import.
