AutomationID,ProcessID,Description,Trigger,Action,Category,Tooling_Example,Status
AUTO-001,PROC-001,Automate notifications for Annual Strategic Planning,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-001-2,PROC-001,Auto-update dashboard for Annual Strategic Planning,Data availability,Append metrics row,Analytics,ETL/Script,Planned
AUTO-002,PROC-002,Automate notifications for Quarterly OKRs & Review,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-002-2,PROC-002,Auto-update dashboard for Quarterly OKRs & Review,Data availability,Append metrics row,Analytics,ETL/Script,Planned
AUTO-003,PROC-003,Automate notifications for Market Research & Niche Validation,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-003-2,PROC-003,Auto-update dashboard for Market Research & Niche Validation,Data availability,Append metrics row,Analytics,ETL/Script,Planned
AUTO-004,PROC-004,Automate notifications for Product/Service Portfolio Management,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-004-2,PROC-004,Auto-update dashboard for Product/Service Portfolio Management,Data availability,Append metrics row,Analytics,ETL/Script,Planned
AUTO-005,PROC-005,Automate notifications for Pricing Strategy & Packaging,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-005-2,PROC-005,Auto-update dashboard for Pricing Strategy & Packaging,Data availability,Append metrics row,Analytics,ETL/Script,Planned
AUTO-006,PROC-006,Automate notifications for Partner/Channel Strategy,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-006-2,PROC-006,Auto-update dashboard for Partner/Channel Strategy,Data availability,Append metrics row,Analytics,ETL/Script,Planned
AUTO-007,PROC-007,Automate notifications for Brand Governance & Messaging,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-007-2,PROC-007,Auto-update dashboard for Brand Governance & Messaging,Data availability,Append metrics row,Analytics,ETL/Script,Planned
AUTO-008,PROC-008,Automate notifications for SEO Content Lifecycle,Status change or schedule,Send Slack/Email/Task,Notification,Zapier/Make/RPA,Planned
AUTO-008-2,PROC-008,Auto-update dashboard for SEO Content Lifecycle,Data availability,Append metrics row,Analytics,ETL/Script,Planned
