Platform,Department,Pipeline,Stage,Task Template,SLA (Hours),KPIs,Primary Tools,Automations,Approver
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Intake & Brief,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Scriptwriter,8,"Approval rate 1st pass, Turnaround",KWHero; Nichesss,Auto-outline generator; Versioning,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Ideation & Research,Illustrator,6,"Saves/Shares, Turnaround",SUPERMACHINE; Phygital+,Auto-export variants,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Thumbnail Designer,8,"CTR, Revisions/asset, On-time %",Publit.io; Bestever; SUPERMACHINE,Auto-notify Editor on upload; Auto-publish on approval,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Video Editor (Short),10,"Avg watch %, Completion rate, Time to edit",Phygital+; Unmixr AI,Auto-ingest from Drive; Auto-caption,Creative Director
SuiteDash,Creative & Content,Creative & Content Pipeline,Draft / Production,Copywriter,6,"CTR uplift, Conversions, QA errors",Katteb; WordHero; Writeseed,Auto-assign editor; Grammar QA,Marketing Lead
