TrainingID,ProcessID,Title,Audience,Modality,Duration,Materials_Link,Assessment_Criteria
TRN-001,PROC-001,Training: Annual Strategic Planning,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-002,PROC-002,Training: Quarterly OKRs & Review,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-003,PROC-003,Training: Market Research & Niche Validation,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-004,PROC-004,Training: Product/Service Portfolio Management,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-005,PROC-005,Training: Pricing Strategy & Packaging,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-006,PROC-006,Training: Partner/Channel Strategy,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-007,PROC-007,Training: Brand Governance & Messaging,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-008,PROC-008,Training: SEO Content Lifecycle,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-009,PROC-009,Training: Content Repurposing & Syndication,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-010,PROC-010,Training: Social Media Calendar & Community,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-011,PROC-011,Training: Email List Building & Nurture,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-012,PROC-012,Training: Paid Ads Campaign Lifecycle,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-013,PROC-013,Training: Influencer/UGC Program,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-014,PROC-014,Training: PR & Thought Leadership,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-015,PROC-015,Training: Affiliate/Referral Program,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-016,PROC-016,Training: Web Analytics & CRO Loop,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-017,PROC-017,Training: Lead Intake & Qualification,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-018,PROC-018,Training: Discovery Call Workflow,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-019,PROC-019,Training: Solutioning/Demo Workflow,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-020,PROC-020,Training: Proposal & SOW Creation,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-021,PROC-021,Training: Contracting & eSignature,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
TRN-022,PROC-022,Training: Deal Desk & Discounting,All executors,Video + Live Q&A,45–60 min,./Training/materials.md,Quiz score ≥ 80%
